pitch_type,release_speed,release_spin_rate,release_pos_z,release_pos_x,spin_axis,SeamLat,SeamLon,pfx_x,pfx_z
FF,90.6,2200,6.1,-3.05,198,-3.386166474399855,72.50744997876365,-0.53,1.06
FF,91.6,2113,6.03,-3.0,219,-3.4218392515308316,72.74379336158562,-0.47,1.18
FF,92.4,2163,6.04,-2.97,212,-4.196069725876071,74.13303280194074,-0.4,1.23
FF,91.2,2246,6.09,-2.72,209,-3.730291681407228,80.79400425577958,-0.27,1.06
FF,90.7,2188,6.04,-2.71,210,-3.4394004302272925,89.00306256687345,-0.02,1.35
FF,88.9,2073,6.04,-2.78,210,-2.498594310660638,92.6936415717585,0.08,1.17
FF,93.6,2234,6.12,-2.79,215,-2.9489418129694,70.8097950233712,-0.44,1.34
FF,93.8,2320,6.0,-3.01,210,-3.555037801892338,70.81810299350686,-0.43,1.32
FF,92.6,2364,6.01,-2.77,214,-2.7380722855246455,73.2336926548148,-0.46,1.09
FF,92.5,2389,6.07,-2.87,209,-2.191065753728997,74.8746856537514,-0.38,1.24
FF,91.6,2216,6.19,-2.71,210,-2.5997302976234113,74.04037968523777,-0.42,1.26
FF,92.4,2382,6.26,-2.97,210,-2.76893008767466,73.02589322282948,-0.37,1.44
FF,91.7,2303,6.21,-2.94,217,-2.4351236037534782,66.32146509394437,-0.58,1.39
FF,92.2,2281,6.2,-2.99,204,-2.7129737935637457,72.32359504118577,-0.43,1.31
FF,91.4,2272,6.34,-2.68,206,-2.09642375128115,79.95161258171116,-0.27,1.18
FF,91.3,2320,6.18,-2.71,207,-4.523745146435827,75.34839703682145,-0.34,1.43
FF,91.4,2274,6.06,-2.74,211,-4.70871737390652,78.1929186803654,-0.29,1.31
FF,90.8,2166,6.21,-2.65,212,-5.110641272540232,78.46700995168824,-0.32,1.2
FF,91.6,2241,6.21,-2.84,205,-4.326733545712772,85.5844370604626,-0.14,0.9
FF,91.8,2345,6.17,-2.91,219,-4.1271021907725975,74.11412819611526,-0.41,1.28
FF,91.3,2246,6.32,-2.65,215,-4.1132998403920125,78.11777452131776,-0.31,1.26
FF,92.0,2289,6.19,-2.84,215,-3.7395312863506427,74.69781930148251,-0.37,1.32
FF,92.7,2331,6.17,-2.81,209,-3.4423114246481887,78.49497018707031,-0.28,1.27
FF,92.6,2193,6.27,-2.64,209,-3.294325980350933,78.48277390541472,-0.3,1.2
FF,93.1,2289,6.07,-2.82,212,-2.2229428470364616,77.27450853943563,-0.28,1.38
FF,91.8,2263,6.27,-2.67,208,-1.93575870284297,83.91705388444423,-0.15,1.3
FF,92.2,2200,6.21,-2.86,213,-3.624966956433131,73.39136401025974,-0.39,1.41
FF,92.2,2216,6.15,-2.81,213,-4.718473427134326,86.32694799522166,-0.09,1.3
FF,91.2,2145,6.29,-2.9,205,-2.935438262304082,87.35454281504695,-0.07,1.21
FF,92.4,2229,6.23,-2.73,216,-3.6544519069193475,78.38640144637483,-0.28,1.32
FF,90.9,2191,6.21,-3.01,207,-2.3907127343928063,80.0894789705048,-0.27,1.24
