,release_speed,pitch_type,release_spin_rate,release_extension,vy0,vx0,vz0,ax,az,ay,yR,tR,vxR,vyR,vzR,tf,vxbar,vybar,vzbar,vbar,adrag,amagx,amagy,amagz,amag,Cl,s,spinT,spin_efficiency
95,91.7,FF,2508.0,6.3,-133.362830407545,-5.765971308455122,-7.668293752711758,-1.0234225887685364,-11.86299576902879,27.68613877428566,54.2,-0.03139075043913553,-5.733845305377315,-134.23191908043188,-7.295905413065655,0.41061255940579094,-5.94396038964129,-128.5477809293452,-9.731452940536146,129.05256225006315,29.062298609679175,-2.361986881921698,-1.2624844056343854,18.119506547136858,18.316368810890864,0.2043062896354235,0.1554809634013844,1583.5469025998545,0.631398286523068
96,92.8,FF,2464.0,6.4,-134.9552947639308,-1.8891117241709432,-8.680877977239724,1.806914388428921,-10.333185631512093,29.318783172536563,54.1,-0.030280830333394723,-1.943826592193929,-135.84309186275996,-8.367980536328435,0.4055758915896777,-1.5774061351372906,-129.897596049997,-10.463426024059517,130.32788248814728,30.9973534395671,1.431742057266102,-1.5762303797480897,19.352179484958405,19.4689814409134,0.21293358847943827,0.16672824519377993,1714.8794454867611,0.6959738009280686
97,92.1,FF,2491.0,6.4,-133.76670363958704,-5.061583094543495,-8.539858512560214,2.5319909878315983,-9.302239899618051,30.904517276274444,54.1,-0.03054261805008554,-5.138916728191095,-134.71060850677856,-8.255743752295913,0.4104056962038771,-4.61934496611961,-128.3689135424715,-10.16458987342503,128.8535416637256,32.68328873899402,1.3603089109298048,-1.6558470897184812,20.29354438774292,20.406376790968462,0.22832254751180792,0.18890317811785923,1920.9793715469987,0.7711679532505012
98,91.8,FF,2500.0,6.3,-133.2765887194968,-4.916877214112784,-10.658782215470014,2.369029023850925,-9.077260054589845,29.792823866373062,54.2,-0.031403187848187505,-4.9912722775665825,-134.21217836390048,-10.37372731282888,0.41213525504772924,-4.503092087086445,-128.07284183252062,-12.244256756695355,128.73559133715318,31.919082718982715,1.2525190725160693,-1.9619347830916212,20.06086276342816,20.195450154260485,0.22637678806554834,0.18593029534490724,1889.0170072572382,0.7556068029028953
99,91.3,FF,2459.0,6.5,-132.73194438331714,-2.967417029780304,-6.075140980501447,-0.6197468455660562,-12.919174348459531,31.231181762377275,54.0,-0.030029832095661433,-2.9488061360661395,-133.66981152779042,-5.687180344002631,0.4133414611141448,-3.0768896693997174,-127.21524037679919,-8.357195544792953,127.5265750796216,32.40180913708772,-1.4015195211163922,-1.091523802672178,17.13143878261034,17.22329457282189,0.19673899893256475,0.14620637281145546,1471.4790245389217,0.5984054593488906
100,92.4,FF,2574.0,6.5,-134.33219786865328,-2.373879226932042,-6.3836533366455575,1.2131969050187452,-9.550752795911665,32.86207824128227,54.0,-0.029669255762187725,-2.409873876196938,-135.3071912728709,-6.100289609222225,0.40892855172654397,-2.1618184495327175,-128.58807024190494,-8.053077363587423,128.8581286631532,34.22741539353445,0.6389726876937482,-1.2936039844615124,20.48418134165979,20.534930791269698,0.22974455304966324,0.19111000461758987,1943.4900413374003,0.7550466361062161
101,92.3,FF,2547.0,6.4,-134.2422609535243,-0.0445094501775222,-5.455181423520552,-4.083733242970739,-11.824815557761264,32.298891555470234,54.1,-0.030430398271043237,0.07976017883877637,-135.2251290872705,-5.095347576616248,0.4096372791000358,-0.7566645082716731,-128.6097140599055,-7.517290212086797,128.83144314910655,33.40668870289028,-4.2799404348059,-1.050301597589545,18.399910508282893,18.920299423746044,0.21176777900540478,0.1651631269047355,1679.2758592187995,0.6593152175967018
102,92.1,FF,2559.0,6.6,-133.80380324732718,-5.252193289432691,-7.902024070961191,-0.528964928310975,-11.346970457199204,33.143148958355106,53.9,-0.02904268900256647,-5.236830725526491,-134.76636941509042,-7.572477536851444,0.41012216598486984,-5.345300846590955,-127.96999939591053,-9.899299587487878,128.4635711742934,34.59871339269773,-1.968598984085637,-1.3226322081644781,18.16088048525006,18.31508443654447,0.2061695693092564,0.15784640208195808,1600.3012871678018,0.6253619723203602
103,92.2,FF,2545.0,6.4,-133.98218780950594,-4.270739726396372,-4.262085669916807,2.241126417732654,-8.3336520176583,34.04475193942252,54.1,-0.030483026300119086,-4.339056041930008,-135.0199748782564,-4.008050736286489,0.41154173953006173,-3.877897509699772,-128.0145566607467,-5.722873560279141,128.20107678147718,35.12723991793469,1.1785781176698054,-1.0313812546459573,22.272274159415936,22.32727009520134,0.2523642894261104,0.23084633480337052,2335.6175668396822,0.9177279241020363
104,91.1,FF,2530.0,6.3,-132.46912979249194,-3.300548061582092,-6.252419600483719,1.6137751857527265,-10.194858436220173,33.113927956944806,54.2,-0.0315808439552285,-3.351512443902169,-133.5148955840449,-5.930457367063806,0.4168888613071021,-3.0151299941051133,-126.61248172435683,-8.055518829395272,126.90430615583021,34.471294642956806,0.7947688213352099,-1.2780977765001396,19.79100333993585,19.848148644319778,0.2289511904450632,0.18987516006431246,1901.6543820553782,0.7516420482432324
105,93.3,FF,2666.0,6.5,-135.58457874126265,-4.460563559874842,-7.658720795291796,6.006048907257642,-7.818333076437415,33.842114416881735,54.0,-0.029394051081010845,-4.637105668249823,-136.57933558112188,-7.428908313474638,0.40535956572126375,-3.4198009798765083,-129.72022317956362,-9.01352636373907,130.07795738712832,35.59462852808137,5.070252036182864,-1.6546234578881212,21.889198898618737,22.52958639036904,0.24735541478555415,0.22119105082676363,2270.692560218065,0.8517226407419598
